timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
0,1,3.8235,167.5978,2.7376,279,22.067,,18.3533,15.5,9.8281,15,-0.19,91.7969,1.3688,29.7915,1.2588,65.9226,3.8235,716,716,63.8444,93.625,0.2734,79,1.2811,,9.6412
716,2,3.6122,163.2653,2.655,256,30.2452,,18.3856,15.7031,9.5625,12,-0.6348,254.8828,1.3275,19.0637,5.7311,56.5872,3.6122,735,735,53.4447,91.6445,0,111,2.6066,,8.3666
1451,3,3.7408,164.3836,2.7308,265,27.3973,,19.2132,12.2461,14.8047,14,-0.7508,115.3564,1.3654,21.5113,2.714,65.2044,3.7408,730,730,56.9892,97.0586,0,100,2.0574,,9.2265
2181,4,3.7862,161.0738,2.8207,275,26.0753,,15.3004,11.4883,10.1055,13,0.8133,58.4106,1.4104,20.2858,4.4423,57.4104,3.7862,745,745,58.5106,98.1211,1.0508,97,1.8742,,8.7339
2926,5,3.245,160,2.4338,265,29.3333,,14.541,9.1602,11.293,8,19.1102,91.1255,1.2169,2.5331,15.1909,41.7159,3.245,750,750,54.6392,84.043,19.6797,110,2.7922,,5.6706
3676,6,3.3981,160.8579,2.535,274,26.5416,,16.0579,12.2031,10.4375,9,22.3455,80.9326,1.2675,-1.0437,12.6617,45.6268,3.3981,746,746,58.0508,86.8359,22.3125,99,2.1721,,6.3914
4422,7,3.3621,160,2.5216,245,34.6667,,14.7878,12.6016,7.7383,9,21.4883,63.2324,1.2608,-4.2579,11.9448,37.936,3.3621,750,750,48.5149,86.3359,21.5859,130,3.7616,,6.5957
5172,8,3.1579,158.9404,2.3843,275,27.0557,,14.3391,11.4609,8.6172,7,18.6018,81.9702,1.1921,5.4762,16.8124,39.8536,3.1579,755,755,57.2917,79.5156,18.7227,102,2.4512,,5.2085
5927,9,3.0382,158.9404,2.2938,260,31.0345,,17.146,14.668,8.8789,9,22.4859,76.6602,1.1469,-0.7112,12.9364,37.7365,3.0382,755,755,52.5253,80.7617,22.2305,117,3.3505,,6.3131
6682,10,3.1754,166.4355,2.2895,275,23.6111,,17.9204,13.2422,12.0742,7,29.6586,69.8242,1.1447,3.4131,16.7648,38.2102,3.1754,721,721,61.6592,79.6055,27.9961,85,1.7732,,5.222
7403,11,3.1684,157.8947,2.4079,276,27.3684,,13.3018,6.6172,11.5391,7,15.8227,88.501,1.204,6.1267,16.0793,41.0158,3.1684,760,760,57.0248,81.4414,15.7852,104,2.5231,,5.4174
8163,12,3.0941,156.8627,2.367,255,33.2461,,14.755,10.2422,10.6211,10,20.6049,64.5142,1.1835,0.3678,10.9997,40.1704,3.0941,765,765,50,82.1172,19.8281,127,3.8244,,6.8651
8928,13,3.4111,163.2653,2.5072,270,26.4305,,16.8468,10.3945,13.2578,8,22.6267,72.8149,1.2536,0.121,14.8195,41.489,3.4111,735,735,58.0645,87.4297,22.707,97,2.1084,,5.7765
