timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
0,1,2.9963,187.5,1.9177,165,48.4375,,3.3477,2.832,1.7852,4,-18.4207,219.3604,0.9588,0.7081,23.0521,9.4724,2.9963,640,640,34.7368,66.7109,17.2227,155,7.0067,,3.4302
640,2,4.4896,169.0141,3.1876,255,28.169,,10.6149,6.3477,8.5078,14,-1.205,173.584,1.5938,3.7265,2.3539,58.0671,4.4896,710,710,56.044,106.9609,1.8164,100,1.7627,,9.3291
1350,3,4.2961,167.8322,3.0717,260,27.1709,,15.7907,14.2344,6.8359,14,-0.634,156.4331,1.5358,-4.9777,3.0028,56.7106,4.2961,715,715,57.1429,100.9219,1.3906,97,1.7212,,9.1442
2065,4,4.244,162.1622,3.1405,265,28.3784,,17.4966,15.7383,7.6445,10,-0.6358,181.3965,1.5703,-5.3641,9.1442,55.5887,4.244,740,740,55.7895,108.8867,1.6328,105,1.9724,,7.3939
2805,5,4.3747,160,3.281,265,29.3333,,14.0102,12.9414,5.3672,14,0.14,169.9219,1.6405,-3.0262,2.079,59.9952,4.3747,750,750,54.6392,110.4531,0.8281,110,2.0719,,9.4075
3555,6,4.0059,161.0738,2.9844,250,32.7957,,17.7952,15.832,8.125,10,-0.5331,185.1196,1.4922,-7.5371,9.4349,46.9462,4.0059,745,745,50.5051,110.3867,1.5273,122,2.801,,7.311
4300,7,4.1529,158.9404,3.1355,255,32.3607,,15.4371,13.5273,7.4375,12,-1.5523,218.2007,1.5677,-6.0454,6.0854,49.371,4.1529,755,755,51,112.4141,2.7031,122,2.6662,,8.2657
5055,8,4.4928,160,3.3696,275,26.6667,,11.2148,4.6719,10.1953,14,-0.8003,114.502,1.6848,-7.5908,1.8916,59.145,4.4928,750,750,57.8947,115.1094,0.9336,100,1.6676,,9.4609
5805,9,4.3128,160,3.2346,260,30.6667,,16.863,15.2305,7.2383,14,-0.9357,160.2783,1.6173,-11.2028,2.9805,53.3723,4.3128,750,750,53.0612,110.875,1.4375,115,2.2968,,9.1506
6555,10,3.7972,161.0738,2.8289,255,31.4516,,19.0723,15.332,11.3438,11,0.7448,193.4204,1.4145,-11.2898,8.3066,47.4148,3.7972,745,745,52.0408,101.543,1.3359,117,2.7178,,7.6326
