timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
487,2,1.9869,118.2266,2.0167,585,0,,8.4245,7.8281,3.1133,11,-9.7866,548.3398,1.0083,7.2465,8.7886,50.2104,1.9869,1015,1015,136.0465,49.1328,10.0117,-78,1.6952,,7.4952
1502,3,1.89,112.4649,2.0167,707,0,,6.34,4.75,4.1992,7,-7.3642,161.5601,1.0083,30.6124,16.3114,61.8398,1.89,1067,1067,196.3889,59.1719,8.4258,-174,8.3781,,5.3513
2569,4,2.8205,167.8322,2.0167,381,0,,14.9358,14.3945,3.9844,10,3.3266,373.7183,1.0083,4.0477,9.3139,53.3876,2.8205,715,715,114.0719,56.5625,4.668,-24,0.1605,,7.3455
3284,5,1.9372,115.2738,2.0167,581,0,,12.8369,11.3047,6.082,12,-8.3074,414.4287,1.0083,3.3893,6.194,74.8143,1.9372,1041,1041,126.3043,78.9375,6.8281,-61,1.037,,8.2347
4325,6,2.1228,126.3158,2.0167,691,0,,12.7513,11.6484,5.1875,14,-0.3386,30.5176,1.0083,-2.1693,1.7263,90.9812,2.1228,950,950,266.7954,92.5156,0.0703,-216,12.787,,9.508
5275,7,2.1896,130.2932,2.0167,525,0,,6.9466,6.1641,3.2031,12,-6.9337,638.7329,1.0083,-2.8277,5.3576,56.2491,2.1896,921,921,132.5758,58.6094,8.9609,-65,1.1774,,8.4731
6196,8,2.2659,134.8315,2.0167,636,0,,5.6502,4.2539,3.7188,4,2.7863,66.2842,1.0083,-13.0685,25.2942,57.2986,2.2659,890,890,250.3937,60,2.2188,-191,10.063,,2.7912
7086,9,2.5208,150,2.0167,526,0,,11.404,11.1719,2.2891,10,-5.7254,528.3203,1.0083,-8.222,10.0764,48.7964,2.5208,800,800,191.9708,49.5938,8.3789,-126,4.4161,,7.1282
7886,10,2.6675,158.7302,2.0167,481,0,,7.7589,7.1797,2.9414,10,-9.0907,616.5161,1.0083,-3.8609,9.2954,50.7018,2.6675,756,756,174.9091,50.2188,10.9531,-103,2.9542,,7.3508
8642,11,2.6157,155.642,2.0167,486,0,,5.9127,5.1797,2.8516,14,-1.8478,467.8955,1.0083,-1.1346,2.2905,51.9271,2.6157,771,771,170.5263,50.5859,3.6328,-101,2.8408,,9.3472
9413,12,2.5367,150.9434,2.0167,505,0,,7.7216,7.0313,3.1914,11,-8.7664,619.0186,1.0083,-2.6482,7.2431,58.6474,2.5367,795,795,174.1379,59.1914,11.6484,-108,3.2474,,7.9357
