timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
623,1,4.3811,169.0141,3.1106,281,20.8451,,9.5086,6.2656,7.1523,7,-3.5393,223.999,1.5553,8.0322,17.0436,63.8752,4.3811,710,710,65.5012,109.3906,4.4727,74,0.9894,,5.1426
1333,2,4.4273,164.6091,3.2275,264,27.4725,,8.7755,4.875,7.2969,7,-10.0305,443.6035,1.6137,10.6655,16.1962,62.9366,4.4273,729,729,56.7742,112.9883,9.9961,100,1.741,,5.3841
2062,3,4.3242,167.5978,3.0961,274,23.4637,,15.004,12.4961,8.3047,5,-6.7409,311.6455,1.5481,11.5084,20.3831,63.5704,4.3242,716,716,61.991,108.1641,7.2188,84,1.2807,,4.1908
2778,4,4.2982,172.9107,2.983,271,21.902,,14.6515,6.582,13.0898,5,-7.2714,309.3262,1.4915,11.7216,20.4273,62.3197,4.2982,694,694,64.0662,105.3359,7.5977,76,1.0882,,4.1782
3472,5,4.1312,165.2893,2.9992,275,24.2424,,16.3509,4.5703,15.6992,5,-9.8418,346.8018,1.4996,12.5366,21.4688,61.1893,4.1312,726,726,60.9756,105.1289,9.9688,88,1.451,,3.8814
4198,6,4.2809,163.4877,3.1422,285,22.3433,,15.7681,5.543,14.7617,5,-7.0596,325.3784,1.5711,11.8084,20.8093,61.9707,4.2809,734,734,63.4744,109.5547,7.0938,82,1.2026,,4.0694
4932,7,4.4685,163.2653,3.2843,280,23.7057,,12.7151,10.5313,7.125,7,-11.3252,361.0229,1.6422,9.8917,16.445,63.0499,4.4685,735,735,61.5385,115.5469,11.6289,87,1.2951,,5.3132
5667,8,4.2986,165.2893,3.1208,255,29.7521,,11.0263,8.6914,6.7852,7,-8.3225,311.8286,1.5604,10.3419,17.1507,55.642,4.2986,726,726,54.1401,109.1406,7.9102,108,2.0998,,5.112
6393,9,4.1852,165.5172,3.0343,275,24.0331,,16.8299,5.7734,15.8086,6,-7.738,283.1421,1.5171,9.08,19.6995,59.2451,4.1852,725,725,61.1111,106.6758,8.1328,87,1.4018,,4.3856
7118,10,4.3538,164.3836,3.1782,290,20.5479,,15.7803,13.8438,7.5742,8,-5.7658,199.5239,1.5891,9.3825,13.6548,64.1466,4.3538,730,730,65.9091,112.1172,6.1523,75,0.9947,,6.1084
7848,11,4.49,164.3836,3.2777,270,26.0274,,15.4778,13.2969,7.9219,8,-6.1882,252.8076,1.6389,11.0986,13.8875,60.5414,4.49,730,730,58.6957,115.0039,6.293,95,1.5472,,6.0421
8578,12,4.1375,165.5172,2.9997,265,26.7956,,14.3827,11.0234,9.2383,6,-2.8276,120.1782,1.4999,14.1657,18.6434,55.49,4.1375,725,725,57.6087,104.5352,2.3477,97,1.7625,,4.6866
