timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
3988,1,2.9326,169.0141,2.0821,259,27.0423,,14.9891,14.2891,4.5273,6,-11.8561,459.7168,1.0411,17.539,20.2301,34.3056,2.9326,710,710,57.4279,69.4102,12.7734,96,2.4863,,4.2344
4698,2,2.9383,174.1655,2.0245,245,28.7791,,11.5298,10.7148,4.2578,6,-11.5453,471.4355,1.0123,16.141,18.2183,33.2367,2.9383,689,689,55.1802,67.582,11.7227,99,2.719,,4.8078
5387,3,2.9027,171.4286,2.0319,244,30.2857,,11.6988,10.6719,4.793,5,-12.1495,405.8838,1.0159,15.7796,20.6701,30.333,2.9027,700,700,53.5088,68.1172,11.9414,106,3.1051,,4.109
6087,4,2.8785,164.1587,2.1042,260,28.7671,,11.7266,10.9141,4.2891,6,-8.7328,350.1587,1.0521,18.8879,20.1204,34.7661,2.8785,731,731,55.2017,69.6172,8.6289,105,2.9424,,4.2657
6818,5,3.0041,172.6619,2.0878,240,30.8357,,9.0966,5.7188,7.0742,5,-10.6603,373.23,1.0439,19.5123,21.197,29.0228,3.0041,695,695,52.7473,69.2344,10.0117,107,3.0792,,3.9589
7513,6,2.8868,170.2128,2.0352,260,26.1364,,10.2366,9.2656,4.3516,5,-12.7832,450.5005,1.0176,20.6295,22.144,32.1383,2.8868,705,705,58.427,67.1094,12.2773,92,2.3362,,3.6889
8218,7,2.8273,171.4286,1.9791,230,34.2857,,6.6523,4.3789,5.0078,5,-10.4696,351.5625,0.9895,15.9217,20.6043,23.4633,2.8273,700,700,48.9362,65.9844,9.8828,120,4.0827,,4.1278
8918,8,2.9154,164.3836,2.1282,250,31.5068,,13.1383,11.6641,6.0469,6,-11.5005,482.3608,1.0641,17.862,17.9356,33.2585,2.9154,730,730,52.0833,71.1641,11.3242,115,3.4885,,4.8883
9648,9,3.1608,166.4355,2.2789,280,22.2222,,13.5655,12.6563,4.8828,4,-10.0453,316.3452,1.1395,19.256,23.2942,36.6433,3.1608,721,721,63.4921,76.4609,9.2617,80,1.5781,,3.3611
10369,10,3.0423,163.2653,2.2361,274,25.3406,,7.8089,4.4258,6.4336,5,-11.4681,381.4087,1.118,21.7603,22.5478,34.8446,3.0423,735,735,59.436,74.7148,11.1445,93,2.173,,3.5739
11104,11,3.0087,166.6667,2.1663,255,29.1667,,8.9392,7.7148,4.5156,5,-9.8711,318.8477,1.0831,18.1683,20.6302,32.5299,3.0087,720,720,54.8387,72.8828,9.0469,105,2.8582,,4.1204
11824,12,2.9876,165.7459,2.1631,264,27.0718,,7.6066,4.2383,6.3164,5,-10.7496,346.5576,1.0815,18.509,22.2566,33.1328,2.9876,724,724,57.3913,72.5898,10.1445,98,2.494,,3.6569
12548,13,3.1217,165.2893,2.2664,261,28.0992,,8.5594,5.8398,6.2578,5,-11.3502,417.1753,1.1332,22.5101,21.048,32.657,3.1217,726,726,56.129,75.4922,10.75,102,2.5785,,4.0013
13274,14,3.1371,167.8322,2.2431,235,34.1737,,13.0387,12.2617,4.4336,6,-10.2073,390.7471,1.1215,18.1212,19.0063,28.3305,3.1371,715,715,48.9583,75.7695,9.6328,122,3.7244,,4.5832
13989,15,3.0344,166.6667,2.1848,245,31.9444,,6.6351,4.543,4.8359,5,-10.01,384.3994,1.0924,17.3803,20.7898,29.4245,3.0344,720,720,51.5789,74.0469,9.582,115,3.3984,,4.0749
14709,16,3.1271,163.2653,2.2984,256,30.2452,,8.6213,4.8711,7.1133,5,-10.498,352.356,1.1492,21.3454,22.1382,29.0243,3.1271,735,735,53.4447,77.0508,9.7305,111,3.0103,,3.6906
15444,17,3.0292,165.5172,2.1962,266,26.5193,,14.9399,14.2148,4.5977,5,-10.982,378.54,1.0981,21.0294,22.1509,33.2808,3.0292,725,725,57.9521,73.7969,10.4414,96,2.3573,,3.687
16169,18,3.0298,165.5172,2.1966,225,37.8453,,14.7266,14.0508,4.4102,6,-11.4876,340.21,1.0983,16.3096,19.4805,22.3034,3.0298,725,725,45,74.4727,10.9688,137,4.7914,,4.4481
16894,19,2.9696,163.2653,2.1827,261,28.8828,,6.8391,5.0273,4.6367,5,-10.4535,377.3193,1.0913,18.6095,20.409,32.2971,2.9696,735,735,55.0633,74.2773,10.25,106,2.891,,4.1834
17629,20,3.0991,163.0435,2.281,266,27.7174,,10.8084,7.5977,7.6875,4,-12.5015,426.0254,1.1405,19.599,23.5073,33.5794,3.0991,736,736,56.5957,77.5313,11.9727,102,2.562,,3.3004
18365,21,3.0853,161.0738,2.2985,275,26.0753,,12.5059,11.4883,4.9414,6,-12.0174,385.8032,1.1493,22.8317,20.0629,35.4866,3.0853,745,745,58.5106,77.1328,11.3242,97,2.2996,,4.2821
19110,22,2.1061,158.9404,1.5901,410,0,,7.1261,5.5508,4.4688,5,-11.8152,361.084,0.795,19.6735,22.1808,72.3433,2.1061,755,755,118.8406,78.2773,11.4297,-33,0.3849,,3.6785
19865,23,3.1419,158.9404,2.3722,285,24.4032,,9.6837,5.8477,7.7188,4,-11.001,386.5967,1.1861,22.4801,23.6433,35.6457,3.1419,755,755,60.6383,79.5742,10.5547,92,2.0047,,3.2616
20620,24,2.1488,162.1622,1.5901,410,0,,17.3369,15.457,7.8516,4,-9.9741,375.1221,0.795,19.0061,23.3535,73.9393,2.1488,740,740,124.2424,79.5,9.4375,-40,0.5656,,3.3443
21360,25,3.1966,163.2653,2.3495,229,37.6022,,12.1123,10.3516,6.2891,6,-13.598,482.7881,1.1748,18.1343,18.8979,24.1633,3.1966,735,735,45.2569,79.7578,12.6367,138,4.5463,,4.6141
22095,26,3.1118,162.1622,2.3027,276,25.4054,,11.6878,8.8242,7.6641,5,-10.5464,324.8901,1.1514,20.0691,22.1053,36.3873,3.1118,740,740,59.4828,78.1992,9.9258,94,2.1557,,3.7
22835,27,3.1705,164.1587,2.3176,240,34.2466,,16.5576,15.6406,5.4336,6,-12.2843,403.0151,1.1588,17.968,18.6797,29.3566,3.1705,731,731,48.8798,79.0977,11.6094,125,3.7839,,4.6763
23566,28,3.2204,167.8322,2.3026,261,26.8908,,11.3936,10.2188,5.0391,5,-9.7698,359.6191,1.1513,18.133,22.0891,34.1038,3.2204,715,715,57.489,78.6836,9.4727,96,2.2485,,3.7046
24281,29,3.2281,163.2653,2.3727,260,29.1553,,6.7293,4.6875,4.8281,5,-10.7577,385.7422,1.1863,21.8115,22.3544,31.8021,3.2281,735,735,54.7368,80.2188,10.1406,107,2.7102,,3.629
25016,30,3.2267,167.8322,2.3071,265,25.7703,,9.9114,5.6875,8.1172,5,-8.6631,313.4766,1.1535,19.7739,22.1238,35.7524,3.2267,715,715,58.8889,78.3789,8.2266,92,2.0612,,3.6947
25731,31,3.0789,169.0141,2.186,250,29.5775,,13.4383,11.6133,6.7617,5,-8.7808,336.0596,1.093,16.9122,22.0723,31.941,3.0789,710,710,54.3478,74.7852,8.5703,105,2.8324,,3.7094
26441,32,3.0183,163.2653,2.2185,250,31.8801,,11.7304,8.9375,7.5977,5,-9.4051,329.3457,1.1092,18.6526,22.7721,29.4442,3.0183,735,735,51.5464,75.7188,9,117,3.464,,3.5099
27176,33,3.132,167.8322,2.2394,250,29.972,,11.1001,9.9023,5.0156,5,-10.0218,379.4556,1.1197,22.266,20.7347,29.6943,3.132,715,715,53.7634,75.5117,9.4023,107,2.8713,,4.0906
27891,34,3.1713,164.3836,2.3151,265,27.3973,,11.9425,9.1523,7.6719,5,-7.2529,302.9175,1.1575,20.5345,21.6547,32.983,3.1713,730,730,56.9892,78.4844,7.125,100,2.4264,,3.8284
28621,35,3.1678,165.5172,2.2966,255,29.558,,15.2963,14.5117,4.8359,6,-11.5871,373.7793,1.1483,21.2841,20.3211,32.9574,3.1678,725,725,54.2553,77.9844,10.9219,107,2.7998,,4.2085
29346,36,3.1387,164.1587,2.2944,245,32.8767,,13.2795,11.0039,7.4336,5,-10.2247,384.1553,1.1472,20.9816,21.907,28.1676,3.1387,731,731,50.4115,77.3047,9.8945,120,3.5232,,3.7565
30077,37,3.1918,165.7459,2.3109,245,32.3204,,15.7284,14.8359,5.2227,5,-9.2357,308.8379,1.1554,21.4631,22.5168,27.1838,3.1918,724,724,51.1482,77.9844,8.582,117,3.3258,,3.5827
30801,38,3.1747,165.2893,2.3049,266,26.7218,,8.6216,5.6953,6.4727,5,-10.2445,360.4126,1.1524,21.7561,20.8457,35.1804,3.1747,726,726,57.8261,78.0195,9.7617,97,2.2933,,4.059
31527,39,3.1263,167.8322,2.2353,269,24.6499,,9.1015,5.2461,7.4375,5,-8.9974,344.8486,1.1177,24.1056,22.316,35.5802,3.1263,715,715,60.3139,75.5938,8.7656,88,1.9465,,3.6399
32242,40,3.1407,164.3836,2.2927,270,26.0274,,9.1987,7.9102,4.6953,5,-9.6682,354.7363,1.1464,21.5397,21.8079,35.8958,3.1407,730,730,58.6957,77.9141,9.4023,95,2.2114,,3.7848
32972,41,3.1135,165.5172,2.2573,250,30.9392,,10.9969,8.7773,6.625,5,-12.0021,399.9023,1.1286,20.308,20.9379,31.0856,3.1135,725,725,52.6316,76.7578,11.4258,112,3.1204,,4.0327
33697,42,3.1689,162.1622,2.345,260,29.7297,,16.6585,15.5039,6.0938,6,-12.1185,433.8989,1.1725,22.9368,19.126,32.7761,3.1689,740,740,54.1667,79.5898,11.4414,110,2.8978,,4.5491
34437,43,3.1607,163.2653,2.3231,261,28.8828,,11.3773,9.9531,5.5117,5,-10.5581,401.5503,1.1615,20.6279,20.8943,32.2357,3.1607,735,735,55.0633,79.1797,9.8633,106,2.7165,,4.0451
35172,44,3.2781,162.1622,2.4258,265,28.3784,,7.0187,5.2656,4.6406,5,-8.9212,319.7021,1.2129,19.1691,21.7237,33.5164,3.2781,740,740,55.7895,82.8789,8.5391,105,2.5529,,3.8087
35912,45,3.1808,161.9433,2.3569,264,28.6486,,15.4023,13.1211,8.0664,5,-8.7008,314.27,1.1785,20.3708,20.5626,35.0657,3.1808,741,741,55.3459,80.4609,8.1367,106,2.6776,,4.1397
36653,46,3.3463,162.1622,2.4762,255,31.0811,,16.1646,15.5469,4.4258,6,-11.7513,435.3027,1.2381,22.2386,19.6604,32.6175,3.3463,740,740,52.5773,83.9961,10.8359,115,2.9991,,4.3968
