timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
987,1,2.6387,161.0738,1.9659,260,30.1075,,15.7796,15,4.8984,13,-10.3146,270.874,0.9829,3.396,3.4953,26.8821,2.6387,745,745,53.6082,72.4258,10.5938,112,3.5819,,9.0038
1732,2,2.6791,163.2653,1.9691,265,27.7929,,16.2335,15.3164,5.3789,13,-9.1123,219.2993,0.9846,-0.0068,4.5661,33.4076,2.6791,735,735,56.383,71.7227,9.082,102,2.9671,,8.6987
2467,3,2.789,162.1622,2.0639,265,28.3784,,12.4296,9.5391,7.9688,11,-13.7893,422.9736,1.0319,3.3002,8.3691,35.6853,2.789,740,740,55.7895,76.1953,13.5625,105,2.9998,,7.6148
3207,4,2.9748,161.0738,2.2163,260,30.1075,,7.7244,5.0469,5.8477,9,-13.8577,433.0444,1.1081,6.4288,13.1522,33.7175,2.9748,745,745,53.6082,81.7617,12.4844,112,3.1781,,6.2516
3952,5,3.2382,163.4877,2.3768,244,33.515,,14.4393,11.9258,8.1406,8,-13.7371,447.3267,1.1884,7.7404,13.4763,33.2317,3.2382,734,734,49.7959,87.8594,12.3555,123,3.573,,6.1593
4686,6,3.4791,165.5172,2.5223,250,30.9392,,16.0758,13.0703,9.3594,7,-14.7487,463.4399,1.2612,10.0122,16.2021,35.1967,3.4791,725,725,52.6316,92.4883,12.7539,112,2.7931,,5.3824
5411,7,3.4495,163.2653,2.5354,245,33.2425,,16.5376,13.6289,9.3672,8,-14.3628,488.2813,1.2677,6.615,14.298,38.1442,3.4495,735,735,50,94.2305,13.0508,122,3.296,,5.9251
6146,8,3.3958,163.2653,2.4959,255,30.5177,,14.9345,7.5078,12.9102,7,-10.6782,374.7559,1.248,3.3263,16.2575,39.6155,3.3958,735,735,53.125,92.2148,9.5547,112,2.8226,,5.3666
6881,9,3.6091,165.7459,2.613,265,26.7956,,14.5335,9.7461,10.7813,7,-13.1295,417.7246,1.3065,5.8394,16.4241,42.462,3.6091,724,724,57.7342,96.6953,12.3945,97,2.0231,,5.3191
7605,10,3.4489,165.2893,2.5039,250,31.1295,,16.9954,14.957,8.0703,7,-14.9321,465.8813,1.252,9.2895,16.8535,38.3213,3.4489,726,726,52.521,92.7734,12.707,113,2.864,,5.1968
8331,11,3.3902,163.4877,2.4884,229,37.6022,,13.4866,7.0898,11.4727,8,-12.9812,428.6499,1.2442,7.7949,15.3276,34.2405,3.3902,734,734,45.3465,92.2461,11.2969,138,4.2935,,5.6316
9065,12,3.4382,164.3836,2.5099,250,31.5068,,14.0148,8.7773,10.9258,8,-15.0143,503.1128,1.2549,8.0076,15.0701,40.1687,3.4382,730,730,52.0833,92.9688,13.375,115,2.959,,5.705
9795,13,3.6771,165.5172,2.6659,255,29.558,,19.9511,14.043,14.1719,7,-13.6705,454.3457,1.3329,7.2349,16.9959,40.759,3.6771,725,725,54.2553,98.9258,12.5977,107,2.4125,,5.1562
10520,14,3.5982,165.5172,2.6087,245,32.3204,,14.3301,8.8516,11.2695,7,-11.7396,394.165,1.3043,7.9367,17.88,35.9544,3.5982,725,725,51.0417,96.6367,10.9375,117,2.9469,,4.9042
11245,15,3.6428,167.8322,2.6046,244,31.6527,,20.2905,15.8906,12.6172,9,-12.9876,439.0869,1.3023,5.4369,12.9961,38.7933,3.6428,715,715,51.8047,96.5078,12.0078,113,2.7534,,6.2961
11960,16,3.4253,166.6667,2.4662,245,31.9444,,16.3572,9.2305,13.5039,8,-13.3591,437.5,1.2331,4.7079,15.2406,36.1897,3.4253,720,720,51.5789,91.1523,11.8164,115,3.0114,,5.6564
12680,17,3.4633,165.7459,2.5074,250,30.9392,,13.7086,7.0938,11.7305,8,-14.2332,462.7686,1.2537,4.7098,14.9444,38.3499,3.4633,724,724,52.7426,92.6484,13.1406,112,2.8097,,5.7409
13404,18,3.4766,166.6667,2.5031,255,29.1667,,16.5385,9.8555,13.2813,8,-15.1828,486.3281,1.2516,5.6449,14.6039,40.6502,3.4766,720,720,54.8387,92.2266,14.0313,105,2.4741,,5.8379
