timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
632,1,3.3617,157.8947,2.5549,325,14.4737,,11.3538,8.9453,6.9922,1,-10.9203,384.1553,1.2774,-11.2871,35.9466,51.072,3.3617,760,760,74.7126,74.668,18.0039,55,0.6655,,-0.2448
1392,2,3.2944,155.642,2.54,345,10.3896,,13.93,12.7695,5.5664,1,-8.5389,263.916,1.27,-11.5202,31.0576,51.1159,3.2944,771,771,80.9859,75.3711,14.1719,40,0.3541,,1.1486
2163,3,3.3574,156.8627,2.5684,341,10.733,,8.3892,5.4258,6.3984,2,-8.4309,287.9639,1.2842,-12.6698,29.6452,51.8695,3.3574,765,765,80.4245,75.582,14.0117,41,0.3679,,1.5511
2928,4,3.2865,163.0435,2.4189,330,10.3261,,8.3205,4.6172,6.9219,4,-8.7326,292.6636,1.2094,-9.955,23.6562,52.19,3.2865,736,736,81.2808,73.1641,13.4648,38,0.3355,,3.258
3664,5,3.367,162.1622,2.4916,346,6.4865,,13.4693,11.5547,6.9219,2,-10.7213,294.0674,1.2458,-12.8184,30.6355,53.6594,3.367,740,740,87.8173,74.5313,14.9023,24,0.1299,,1.2689
4404,6,3.2758,160,2.4568,345,8,,12.8697,8.0234,10.0625,4,-10.5697,242.3096,1.2284,-13.256,24.2067,53.0288,3.2758,750,750,85.1852,73.3438,12.8008,30,0.2059,,3.1011
5154,7,3.2241,154.8387,2.4987,359,7.2351,,12.2655,10.3398,6.5977,2,-10.904,281.6162,1.2493,-10.5513,29.6637,53.2001,3.2241,775,775,86.2981,75.6953,13.3516,28,0.1764,,1.5459
5929,8,3.2231,152.6718,2.5334,350,10.9415,,17.1182,14.5469,9.0234,2,-9.6865,268.7988,1.2667,-10.9868,28.8733,51.4928,3.2231,786,786,80.2752,75.7461,13.1445,43,0.4102,,1.7711
6715,9,3.3064,154.8387,2.5624,340,12.1447,,14.8011,11.6992,9.0664,3,-9.8825,248.23,1.2812,-11.2557,25.9209,49.8613,3.3064,775,775,78.1609,76.7813,12.6563,47,0.4845,,2.6125
7490,10,3.3128,156.8627,2.5343,345,9.6859,,5.861,3.8242,4.4414,2,-8.4434,237.3047,1.2672,-11.0575,28.9172,50.2466,3.3128,765,765,82.1429,76.082,11.1992,37,0.3036,,1.7586
8255,11,3.0793,152.6718,2.4203,351,10.687,,15.6864,13.5391,7.9219,3,-11.5879,262.5732,1.2102,-9.2396,27.343,47.9669,3.0793,786,786,80.6897,72.8516,13.6211,42,0.4096,,2.2072
9041,12,3.3376,157.8947,2.5366,335,11.8421,,7.9346,3.5234,7.1094,5,-10.1974,267.395,1.2683,-12.6992,22.7127,48.1797,3.3376,760,760,78.8235,75.7891,12.1719,45,0.4487,,3.5269
9801,13,3.2375,155.642,2.4961,346,10.1299,,8.8772,5.6445,6.8516,3,-12.1652,276.9775,1.2481,-10.5852,25.9764,51.1676,3.2375,771,771,81.4118,74.8945,13.4063,39,0.3425,,2.5967
10572,14,3.2349,157.6873,2.4618,334,12.1053,,16.5879,13.8008,9.2031,4,-12.2465,303.1006,1.2309,-10.1018,23.2489,49.3744,3.2349,761,761,78.2201,74.4219,14.0391,46,0.4831,,3.3741
11333,15,3.1875,159.1512,2.4034,325,13.7931,,8.8535,3.9844,7.9063,5,-11.1605,235.4736,1.2017,-9.1751,21.7382,43.717,3.1875,754,754,75.7576,71.8711,12.2617,52,0.6324,,3.8046
