timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to,split_stride_pace,cycle_time,split_cycle_time,contact_ratio,debug_1,debug_2,flight_time,stride_angle,walking,footstrike_type_new
631,1,3.5483,173.6614,2.4519,285,17.3913,,11.4023,8.3672,7.7461,4,-3.0158,156.311,1.2259,9.3557,24.166,55.4884,3.5483,691,691,70.197,86.5313,6.1602,60,0.8252,,3.1127
1322,2,3.6351,171.4286,2.5446,310,11.4286,,12.4355,9.2734,8.2852,3,-5.3214,170.0439,1.2723,7.1686,27.5764,64.4319,3.6351,700,700,79.4872,90.7852,8.3125,40,0.3534,,2.1407
2022,3,3.7971,172.6619,2.639,300,13.5447,,10.5508,7.1211,7.7852,2,-5.1831,211.9751,1.3195,10.5434,29.9621,61.0512,3.7971,695,695,75.9494,93.6758,8.1914,47,0.4705,,1.4608
2717,4,4.9098,176.4706,3.3387,280,17.6471,,15.9004,3.918,15.4102,14,-0.8786,199.585,1.6693,3.3703,2.4723,84.6763,4.9098,680,680,70,119.3086,1.4688,60,0.606,,9.2954
3397,5,3.8213,172.6619,2.6558,281,19.0202,,12.5765,10.3555,7.1367,2,-7.6365,224.5483,1.3279,8.1981,29.4572,56.5672,3.8213,695,695,67.8744,95.0234,7.9961,66,0.9218,,1.6047
4092,6,3.7854,170.2128,2.6687,270,23.2955,,11.8383,8.7617,7.9609,3,-7.2745,281.6772,1.3343,10.475,26.3705,59.8939,3.7854,705,705,62.069,95.4688,9.3711,82,1.4159,,2.4844
4797,7,3.9487,170.2128,2.7839,280,20.4545,,15.2996,7.6563,13.2461,2,-4.7281,177.7954,1.3919,11.053,29.4114,57.5538,3.9487,705,705,65.8824,98.6172,5.5547,72,1.0466,,1.6178
5502,8,4.0108,175.4386,2.7434,260,23.9766,,11.611,8.7188,7.668,3,-10.1265,315.7349,1.3717,8.5687,27.02,56.0404,4.0108,684,684,61.3208,98.5039,11.0234,82,1.3774,,2.2993
6186,9,3.9345,168.7764,2.7974,284,20,,11.2894,8.375,7.5703,2,-7.7764,246.8262,1.3987,10.2735,28.4717,62.4479,3.9345,711,711,66.5105,99.9414,8.207,71,1.0128,,1.8856
6897,10,3.9932,169.0141,2.8352,286,19.4366,,14.5128,12.6719,7.0742,1,-8.5885,268.7988,1.4176,12.2793,31.0086,60.5972,3.9932,710,710,67.4528,100.7813,8.3984,69,0.9438,,1.1626
7607,11,5.1337,170.2128,3.6193,275,21.875,,12.4985,10.3438,7.0156,15,-0.2445,254.0283,1.8096,3.9855,0.6181,85.1447,5.1337,705,705,63.9535,127.0469,0,77,0.9207,,9.8238
8312,12,3.9622,169.0141,2.8132,281,20.8451,,12.1555,8.7539,8.4336,2,-10.7927,360.6567,1.4066,9.1189,28.852,59.6185,3.9622,710,710,65.5012,99.7344,11.4297,74,1.094,,1.7772
